Gene_ID,C1:fpkm,C2:fpkm,C3:fpkm,L1:fpkm,L2:fpkm,L3:fpkm,H1:fpkm,H2:fpkm,H3:fpkm,Chromosome,Start Site,End Site,Direction,Length,Name,GO,KEGG,UniProtID,Description
Gene00015,3098.10797,2513.02839,3233.516668,3083.906482,2625.181082,2869.974656,4602.220086,6568.17913,5871.615255,BDRX01000001.1,54921,59038,+,2361,Rsub_00015,GO:0003746; GO:0005524; GO:0016887,-,A0A2V0NJC4,elongation factor EF-3
Gene00016,3.441805055,2.093618748,0.73670862,0.434760716,0.24080024,0.721791943,0.984891674,0.776233205,0.657435296,BDRX01000001.1,59071,61209,-,978,Rsub_00016,-,-,A0A2V0NR34,hypothetical protein
Gene00017,0.877132933,0.885469268,0.130171821,0.128032514,0.382931113,0.298912822,1.04414532,0.578625057,0.871235393,BDRX01000001.1,61713,63474,+,738,Rsub_00017,GO:0008757,K21552,A0A2V0NJC3,thiol methyltransferase
Gene00018,19.51103092,17.69124211,22.28721327,22.30674282,16.50441625,16.90102359,16.16099755,16.87248329,15.20656416,BDRX01000001.1,63775,66883,-,1347,Rsub_00018,GO:0005525,K07977,A0A2V0NQU8,ADP-ribosylation factor
Gene00019,25.36182646,20.59846724,21.38102204,19.52751908,16.18325796,10.86019262,11.6574809,7.78621615,9.185310282,BDRX01000001.1,67424,68842,+,975,Rsub_00019,-,-,A0A2V0NJC6,hypothetical protein
Gene00020,0.821998863,0.4149056,1.237835571,0.952820123,0.580510696,0.568486974,3.80433031,3.854258782,3.010311773,BDRX01000001.1,69994,72325,-,1785,Rsub_00020,-,-,A0A2V0NK15,hypothetical protein
Gene00021,82.80680255,93.22477377,84.95026544,76.86329171,67.11214971,53.41587616,54.31652068,43.923538,51.32034329,BDRX01000001.1,73116,74957,-,579,Rsub_00021,GO:0005525; GO:0005783; GO:0005794; GO:0006886; GO:0016192,K07953,A0A2V0NP85,GTP-binding protein SAR1A
Gene00022,6.171071345,8.152342648,7.567392482,5.404638798,6.201104872,5.199491259,5.295832465,4.199596752,4.891585357,BDRX01000001.1,75366,81455,+,4056,Rsub_00022,GO:0006629; GO:0016787,K01052,A0A2V0NJD2,lysosomal acid lipase cholesteryl ester hydrolase
Gene00023,7.116244573,8.441056506,7.722684781,6.260247054,7.794610163,6.391875736,6.949054595,3.660536137,6.410243042,BDRX01000001.1,82428,87094,-,1698,Rsub_00023,GO:0004497; GO:0005506; GO:0016705; GO:0020037,-,A0A2V0NLR6,cytochrome P450
Gene00024,8.807130674,2.568463237,4.683528997,4.606557606,3.204117476,8.003543314,0,0.32277044,0,BDRX01000001.1,87709,89155,-,441,Rsub_00024,GO:0009055; GO:0009507; GO:0046872; GO:0051537,-,A0A2V0NP82,hypothetical protein
Gene00025,3.649286987,3.726806937,4.723048382,5.435150186,6.252282331,4.424967863,3.977916461,4.012255557,3.748184628,BDRX01000001.1,90313,92433,+,1017,Rsub_00025,GO:0046872,K14404,A0A2V0NJD3,cleavage and polyadenylation specificity factor CPSF30
Gene00026,72.89346525,74.88994343,102.5351425,103.4419702,74.89884284,60.6230983,78.34702744,70.67787229,80.74368764,BDRX01000001.1,93404,95062,+,1203,Rsub_00026,GO:0016021; GO:0016765,K09833,A0A2V0NR45,"homogentisate phytyltransferase, chloroplastic"
Gene00027,4.18566569,5.043274927,4.485429601,4.821048148,5.180491165,4.013762525,3.825077484,2.843409485,4.763981627,BDRX01000001.1,96407,107060,-,4155,Rsub_00027,GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0033857; GO:0052723; GO:0052724; GO:0102092,K13024,A0A2V0NJD4,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2-like protein
Gene00028,0.029297312,0.059151511,0,0,0,0,0.09808799,0,0,BDRX01000001.1,107425,109538,+,1473,Rsub_00028,GO:0004252,-,A0A2V0NQV7,peptidase S8 and S53 subtilisin kexin sedolisin
Gene00029,5.044595762,1.949487955,2.807431718,3.192745055,2.580850788,5.318518989,0.043982834,0.173323305,0,BDRX01000001.1,110562,112406,-,1095,Rsub_00029,GO:0008168,-,A0A2V0NJD5,CMV 1a interacting protein
Gene00030,1.285113496,1.129930236,1.338106301,0.589982681,0.723927407,1.101928766,0.416379276,0.319049743,0.75000132,BDRX01000001.1,112927,115133,-,1041,Rsub_00030,GO:0016021,-,A0A2V0NK24,hypothetical protein
Gene00031,3.507868494,2.635317232,3.480681308,2.262472483,2.107206937,2.19624642,4.703835189,3.079437448,3.96467394,BDRX01000001.1,115225,117406,+,1587,Rsub_00031,-,-,A0A2V0NP93,hypothetical protein
Gene00032,1.603145373,1.44342159,0.578715687,0.996108387,1.371400883,0.487263913,2.417731068,1.762598818,2.213327779,BDRX01000001.1,117764,120322,+,996,Rsub_00032,GO:0006629; GO:0016021,K09836,A0A2V0NJD9,beta-carotene ketolase
Gene00033,3.398026796,3.430321889,5.042876855,6.199999707,4.862521586,4.168774726,10.11258853,7.970142516,10.20590031,BDRX01000001.1,121548,124399,-,1143,Rsub_00033,GO:0016021,K15109,A0A2V0NLS5,hypothetical protein
Gene00034,9.738708454,8.635361468,6.815434586,11.03202087,9.571230063,7.07799987,10.13016388,11.48544953,10.60977017,BDRX01000001.1,125299,129147,-,2805,Rsub_00034,-,-,A0A2V0NP87,hypothetical protein
Gene00035,1.683348735,1.853833531,2.043974555,3.518170047,2.171300885,1.56452243,6.319023071,4.542822255,8.794446015,BDRX01000001.1,129466,129912,+,282,Rsub_00035,-,-,A0A2V0NJE1,hypothetical protein
Gene00036,5.655912631,6.138716943,4.566812088,4.634922508,5.031192645,3.827035207,4.250591011,1.905079165,2.766030937,BDRX01000001.1,130482,135505,+,2640,Rsub_00036,GO:0006886; GO:0006888; GO:0008270; GO:0030127,-,A0A2V0NR62,hypothetical protein
Gene00037,4.093287021,4.840565332,4.946529208,5.505398114,6.254541511,4.90217028,11.61611668,7.586417413,11.20159791,BDRX01000001.1,136222,136590,+,369,Rsub_00037,-,-,A0A2V0NJE2,hypothetical protein
Gene00038,5.612077439,4.167661631,6.964484302,8.968591505,5.773158752,7.979765971,5.03928879,3.687977941,5.835212063,BDRX01000001.1,137580,139363,-,669,Rsub_00038,GO:0003746; GO:0005737,K02356,A0A2V0NQW6,elongation factor P
Gene00039,18.8667327,21.16227055,19.14899445,20.57527541,19.48715267,17.73649549,16.37642242,12.3982776,17.0012862,BDRX01000001.1,140044,140820,-,597,Rsub_00039,-,-,A0A2V0NJE3,hypothetical protein
Gene00040,3.715677517,3.107964456,3.338114656,2.49876003,1.998730846,2.062167572,3.524712879,2.451149688,3.135207384,BDRX01000001.1,141213,143978,-,1626,Rsub_00040,-,-,A0A2V0NK31,lysophosphatidic acid phosphatase type 6
Gene00041,48.33710705,42.48272555,42.66320803,49.29808463,45.73529423,35.44177768,51.75085774,52.94838564,58.09756297,BDRX01000001.1,144118,145181,+,483,Rsub_00041,GO:0016021,-,A0A2V0NPA1,membrane protein
Gene00042,0.569702182,0.460093338,0.475578238,0.40539404,0.808325874,0.232974429,0.508633166,0.09395496,0.39408922,BDRX01000001.1,145703,147369,+,1515,Rsub_00042,GO:0000124; GO:0003712,-,A0A2V0NJE9,hypothetical protein
Gene00043,50.69794157,38.63960045,65.29296756,58.08034034,44.86638884,48.04700228,63.46388526,52.47253245,65.56246488,BDRX01000001.1,148206,150778,-,1539,Rsub_00043,GO:0003824; GO:0030170,K01739,A0A2V0NLT3,cystathionine gamma-synthase
Gene00044,0.470097389,0.522021751,0.418591739,0.823424798,0.974847506,1.009270352,2.046064174,1.240451102,2.051185847,BDRX01000001.1,151335,153083,-,918,Rsub_00044,-,-,A0A2V0NP96,hypothetical protein
Gene00045,11.14997708,12.17035691,11.83431645,12.23008038,13.41694169,10.75978604,8.159244264,6.046501719,8.010178132,BDRX01000001.1,153517,156914,-,2001,Rsub_00045,GO:0004672; GO:0005524,K08832,A0A2V0NJF0,Ser Arg-rich kinase
Gene00046,4.972585714,6.069915257,4.828754703,4.804945099,5.842569767,5.291231413,2.491584863,2.928842881,3.185968881,BDRX01000001.1,157193,159234,-,1701,Rsub_00046,-,-,A0A2V0NR70,hypothetical protein
Gene00047,579.3480221,726.9390171,695.6994701,921.1035643,981.87667,983.4618671,949.6885559,778.072954,818.1229796,BDRX01000001.1,159584,160780,-,306,Rsub_00047,GO:0003735; GO:0005840; GO:0006412,K02929,A0A2V0NJF2,60S ribosomal L44
Gene00048,0,0,0,0,0.015747418,0,0,0,0,BDRX01000001.1,161363,166919,-,2991,Rsub_00048,GO:0016021,-,A0A2V0NQX6,hypothetical protein
Gene00049,18.33896678,22.42879748,17.18472499,20.6537896,18.70047097,18.9798687,16.2638617,12.08952737,16.75156936,BDRX01000001.1,167491,169894,-,1146,Rsub_00049,GO:0003723,K12837,A0A2V0NJF1,hypothetical protein
Gene00050,1.731525383,1.317709451,1.319436044,1.487311041,0.872231979,0.939582637,1.010790677,1.054383437,1.672633663,BDRX01000001.1,170346,175204,+,3240,Rsub_00050,GO:0006511; GO:0016579; GO:0036459,K11366,A0A2V0NK41,hypothetical protein
Gene00051,0.099206759,0.200299255,0.441686456,0.108606891,0.108277073,0,0.110715409,0.327222446,0.422313116,BDRX01000001.1,176858,177292,+,435,Rsub_00051,GO:0016579; GO:0036459,-,A0A2V0NPB5,ubiquitin carboxyl-terminal hydrolase
Gene00052,48.23016056,35.54986617,44.39450795,36.57489871,26.74467147,23.26939269,24.08060143,23.89479348,25.15025434,BDRX01000001.1,178292,180728,+,1386,Rsub_00052,GO:0016787,-,A0A2V0NJF7,alpha beta hydrolase
Gene00053,67.69917576,77.47114834,124.3360818,104.1716968,72.16823501,75.34568567,101.9179996,87.86528642,88.89385775,BDRX01000001.1,182984,185626,+,1971,Rsub_00053,GO:0003824; GO:0006596,-,A0A2V0NLU2,ornithine decarboxylase
Gene00054,4.123280934,5.070074895,5.383053677,5.667922146,4.466429274,2.345434918,6.331537446,5.112850718,7.687418447,BDRX01000001.1,186241,189210,+,1392,Rsub_00054,-,K17361,A0A2V0NPA4,"acyl-coenzyme A thioesterase, mitochondrial"
Gene00055,2.135502201,3.083989046,6.99868126,8.377286202,1.974661265,1.546457841,2.019129467,1.728319242,1.988572329,BDRX01000001.1,190173,192592,+,1455,Rsub_00055,-,-,A0A2V0NJG0,hypothetical protein
Gene00056,86.73999629,74.34529411,65.21478506,72.25244841,101.5556211,92.14777224,88.05553259,70.77680181,97.80371912,BDRX01000001.1,194148,195500,+,903,Rsub_00056,GO:0008270,-,A0A2V0NR81,hypothetical protein
Gene00057,716.3645653,678.123752,1059.468958,1009.929582,763.8044046,732.3576045,878.9886805,909.0476606,887.8935228,BDRX01000001.1,196337,202561,+,2319,Rsub_00057,GO:0003994; GO:0005739; GO:0006099; GO:0046872; GO:0051539,K01681,A0A2V0NJF8,aconitate hydratase
Gene00058,7.778099888,7.003156106,8.958212768,19.00280495,5.342648492,5.802777764,24.63360063,21.72602197,19.62345342,BDRX01000001.1,203871,207243,+,1437,Rsub_00058,GO:0003885; GO:0016020; GO:0050660,-,A0A2V0NQY6,hypothetical protein
Gene00059,1311.949064,1737.566715,398.4031725,467.9709509,1619.805507,1795.784216,309.2151704,156.8751573,219.357898,BDRX01000001.1,209607,211126,+,666,Rsub_00059,GO:0009538; GO:0015979,K02694,A0A2V0NJF5,photosystem I reaction center subunit III
Gene00060,46.88054666,59.34045558,10.02135726,14.50175471,54.10348293,46.65878619,13.74384446,6.258031191,12.00478202,BDRX01000001.1,211232,211648,+,417,Rsub_00060,-,-,A0A2V0NK50,hypothetical protein
Gene00061,14.01889528,13.15213485,29.38570404,21.92460974,12.57424246,14.50836923,13.38612275,11.95651877,16.13387834,BDRX01000001.1,211822,216904,+,2004,Rsub_00061,-,-,A0A2V0NPC1,hypothetical protein
Gene00062,15.53394017,13.15303775,32.15015249,29.13128297,17.43070617,17.5256503,16.15631406,12.73344854,16.97179269,BDRX01000001.1,217884,223029,+,1878,Rsub_00062,-,-,A0A2V0NJG5,hypothetical protein
Gene00063,3.766540751,2.30567318,2.898951841,3.947966387,1.093326994,1.269921549,14.62276076,13.2605605,10.57547331,BDRX01000001.1,223718,225801,+,1077,Rsub_00063,-,-,A0A2V0NLV3,hypothetical protein
Gene00064,4.254712424,3.558838173,2.706107157,7.94054047,4.555262225,4.846934559,12.2551042,10.24682495,11.51398049,BDRX01000001.1,227253,229452,+,1065,Rsub_00064,-,-,A0A2V0NPB0,hypothetical protein
Gene00065,0.690981577,0.35511571,0.321621033,0.398857623,0.287950819,0.231194057,0.672994975,0.524889571,0.949282431,BDRX01000001.1,230600,234034,-,3435,Rsub_00065,-,-,A0A2V0NJG6,hypothetical protein
Gene00066,0.028827615,0,0,0.031559117,0.031463278,0.058943931,0.064343624,0.158474464,0.092037177,BDRX01000001.1,234496,235992,+,1497,Rsub_00066,-,-,A0A2V0NR93,hypothetical protein
Gene00067,14.6631427,17.61056503,17.78032009,19.27172285,16.30736474,10.11580442,10.73205441,4.631131671,9.388300565,BDRX01000001.1,237588,240227,-,1086,Rsub_00067,-,-,A0A2V0NJG4,K-stimulated pyrophosphate-energized sodium pump protein
Gene00068,0,0,0,0,0,0,0,0,0,BDRX01000001.1,240991,244960,-,2271,Rsub_00068,GO:0004672; GO:0005524,K08830,A0A2V0NQZ6,CMGC RCK kinase
Gene00069,0.060020779,0,0.089074459,0.065707925,0.043672255,0.10227059,0.156295049,0.175974983,0.14904305,BDRX01000001.1,245322,247632,-,2157,Rsub_00069,GO:0046872,-,A0A2V0NJG3,hypothetical protein
Gene00070,18.23123147,17.47262887,13.52812393,9.796883673,9.03949506,8.362525772,10.9028035,14.68806874,15.58173551,BDRX01000001.1,250474,252426,-,1683,Rsub_00070,-,-,A0A2V0NK58,hypothetical protein
Gene00071,28.31496083,35.29726107,2.804870192,5.402598285,29.98695345,30.27179604,8.436999042,4.502294238,7.561305707,BDRX01000001.1,253521,259552,-,1233,Rsub_00071,GO:0016114; GO:0046429,K03526,A0A2V0NPD0,hypothetical protein
Gene00072,0.521194931,0.263074203,0.174034065,0.285289842,0.19909643,0.239780068,0.43624278,0.401124134,0.388267947,BDRX01000001.1,263487,266475,-,1656,Rsub_00072,-,-,A0A2V0NJH2,hypothetical protein
Gene00073,0.038514003,0.019440021,0.021433914,0.010540829,0.010508819,0,0.032236414,0.052930895,0.020493776,BDRX01000001.1,266903,274542,-,4482,Rsub_00073,-,-,A0A2V0NLV9,hypothetical protein
Gene00074,318.0825234,413.486186,417.4619244,651.001388,558.9909213,484.7764042,561.1459754,497.5990118,420.870777,BDRX01000001.1,275077,278111,-,1311,Rsub_00074,GO:0004013,K01251,A0A2V0NPC2,S-adenosyl homocysteine hydrolase
Gene00075,0.308379145,0.128186472,0.080762341,0.198587632,0.178186104,0.018545411,0.445374722,0.33905142,0.752894285,BDRX01000001.1,279017,283286,-,2379,Rsub_00075,GO:0031514,K19678,A0A2V0NJH6,intraflagellar transport 80 protein
Gene00076,38.38558861,36.48284908,42.07417783,49.93884256,39.88012526,40.0142926,52.12741957,48.2591863,54.17859487,BDRX01000001.1,284257,287971,-,2805,Rsub_00076,GO:0004722; GO:0046872,K14497,A0A2V0NRA3,phosphatase 2C 51-like protein
Gene00077,3.696839292,2.995734488,2.183336457,1.762013903,2.003693743,2.211118763,3.143388532,2.7096917,3.211646952,BDRX01000001.1,291059,292999,-,1716,Rsub_00077,-,-,A0A2V0NJH4,hypothetical protein
Gene00078,0.509549704,1.345334234,1.352439113,4.076457573,0.470577471,1.001805916,0.437431452,0.646420363,0.792556291,BDRX01000001.1,293781,296328,-,1101,Rsub_00078,-,-,A0A2V0NR06,hypothetical protein
Gene00079,6.901617291,4.48464141,5.032911611,2.576418996,3.982765141,4.001036037,6.37427685,3.866718671,5.853384003,BDRX01000001.1,296709,299407,-,1632,Rsub_00079,-,-,A0A2V0NJH0,hypothetical protein
Gene00080,0,0,0,0,0,0,0,0,0,BDRX01000001.1,299771,301145,+,762,Rsub_00080,GO:0016021,-,A0A2V0NK67,hypothetical protein
Gene00081,106.7420498,107.9415237,96.4237402,99.05190615,96.05107448,81.26049779,65.237468,55.95955407,57.18879491,BDRX01000001.1,302381,304256,+,942,Rsub_00081,GO:0004252,K01358,A0A2V0NPE0,"ATP-dependent Clp protease proteolytic subunit-related protein, chloroplastic"
Gene00082,0.8461753,0.512530447,0.847648271,0.926352897,0.277061923,1.038106648,1.69980716,1.116405992,0.990572678,BDRX01000001.1,304483,305184,-,510,Rsub_00082,-,-,A0A2V0NJI0,hypothetical protein
Gene00083,5.45237149,4.567307611,6.391541401,9.588499547,5.887565861,5.692842906,5.113891165,4.464123423,5.555631219,BDRX01000001.1,305847,306777,-,744,Rsub_00083,-,-,A0A2V0NLW9,hypothetical protein
Gene00084,11.40291656,12.57195163,10.06070182,10.74111657,13.15374543,11.19969515,7.41472153,4.043124458,7.76130765,BDRX01000001.1,307797,313291,+,2793,Rsub_00084,GO:0005801; GO:0006886; GO:0016020,K20290,A0A2V0NPD5,hypothetical protein
Gene00085,171.9180549,163.1034392,148.4935051,159.9766266,180.7434853,196.385724,155.9365776,128.8405127,159.3427302,BDRX01000001.1,313778,315032,+,492,Rsub_00085,-,K01527,A0A2V0NJI4,transcription factor BTF3
Gene00086,16.66673557,16.47461373,7.895145393,4.778703223,9.744936598,8.266073334,6.587566829,3.490372757,6.123540188,BDRX01000001.1,315455,316915,+,870,Rsub_00086,-,-,A0A2V0NRB4,hypothetical protein
Gene00087,0.026107042,0.026355165,0.581166389,0.428711414,0.056987933,0.106762329,0.378763241,0.487963297,0.694593941,BDRX01000001.1,317572,320604,-,1653,Rsub_00087,-,-,A0A2V0NJI1,hypothetical protein
Gene00088,12.19483448,14.26004381,9.173947057,10.51285356,13.83312772,11.02325858,8.359512089,8.064608451,8.137136737,BDRX01000001.1,322355,328680,-,3330,Rsub_00088,GO:0004672; GO:0005524,-,A0A2V0NR16,hypothetical protein
Gene00089,0.046780423,0.283350166,0.286378007,0.819408091,0.076586223,0.191304206,0.052207266,0.025716669,0.248924398,BDRX01000001.1,329418,331699,-,1845,Rsub_00089,-,-,A0A2V0NJH8,hypothetical protein
Gene00090,0,0,0,0,0,0.083559721,0,0.134793337,0,BDRX01000001.1,332535,333847,+,1056,Rsub_00090,GO:0016021; GO:0055085,-,A0A2V0NK76,phosphate phosphoenolpyruvate translocator
Gene00091,5.005762306,5.532074665,11.04553201,15.32497608,4.217385395,4.794430274,2.528610163,2.201459923,2.598205391,BDRX01000001.1,334381,339650,+,2457,Rsub_00091,GO:0004553; GO:0005975,-,A0A2V0NPE9,beta-D-xylosidase 2-like
Gene00092,14.85551683,11.68521519,24.21122882,19.95727756,15.83223318,17.35918055,16.30879362,11.73617452,15.40900183,BDRX01000001.1,340622,349801,+,3210,Rsub_00092,GO:0000154; GO:0005524; GO:0005730; GO:0008080; GO:0016021; GO:0042274; GO:0051391,K14521,A0A2V0NJI7,N-acetyltransferase
Gene00093,0,0,0,0,0,0,0,0,0,BDRX01000001.1,350152,352494,+,1116,Rsub_00093,GO:0031514,-,A0A2V0NLX8,flagellar associated protein
Gene00094,0.27896673,0.367327892,0.310502599,0.053112982,0.172092988,0.086800654,0.284256678,0.146689095,0.322699209,BDRX01000001.1,352945,357594,+,3558,Rsub_00094,-,-,A0A2V0NPE2,hypothetical protein
Gene00095,0.077028006,0.019440021,0,0,0,0,0,0.042344716,0.122962654,BDRX01000001.1,358129,361016,+,2241,Rsub_00095,-,-,A0A2V0NJJ1,hypothetical protein
Gene00096,28.45349064,34.03885541,50.70726142,45.48022185,39.26613925,37.20747243,49.52577028,39.1123536,53.25949079,BDRX01000001.1,361458,369580,+,3000,Rsub_00096,GO:0000049; GO:0004825; GO:0005524; GO:0006431,K01874,A0A2V0NRC4,methionine-tRNA ligase-like protein
Gene00097,4.148596471,4.364531835,1.609959332,1.827115936,4.423806393,4.095072632,1.543287164,0.646610837,1.251773409,BDRX01000001.1,370442,376636,-,2715,Rsub_00097,GO:0004674; GO:0005524,K07376,A0A2V0NJJ0,AGC PKA kinase
Gene00098,0.168837795,0.238619418,0.187924108,0.147868538,0.257984107,0.17261163,0.395690634,0.037126177,0.179681344,BDRX01000001.1,377066,380183,-,2556,Rsub_00098,-,-,A0A2V0NR26,hypothetical protein
Gene00099,233.8219994,242.21884,226.8874345,221.0299896,254.7672856,260.9344181,225.6371315,249.3160206,233.650828,BDRX01000001.1,380647,386424,+,2286,Rsub_00099,GO:0004672; GO:0005524,K20715,A0A2V0NJI6,LOV domain-containing protein
Gene00100,28.22566366,41.91667925,37.5179816,23.53687456,33.39469789,18.32351756,17.00828065,6.753753367,13.77796542,BDRX01000001.1,387538,389114,+,1110,Rsub_00100,GO:0032955; GO:0051301,-,A0A2V0NK84,hypothetical protein
Gene00101,0,0,0.068717313,0,0,0,0,0,0.065703221,BDRX01000001.1,389691,390697,+,699,Rsub_00101,-,-,A0A2V0NPG2,hypothetical protein
Gene00102,1.161520132,1.298834921,0.735915476,0.332566444,0.409569799,0.146151661,0.837586137,0.43223172,1.0269291,BDRX01000001.1,392803,396477,-,2415,Rsub_00102,GO:0003676,-,A0A2V0NJJ5,hypothetical protein
Gene00103,1.178657587,1.541409072,0.954108545,0.967754144,0.730920653,0.520342097,1.464865885,0.382876667,1.140324057,BDRX01000001.1,396845,399911,+,1611,Rsub_00103,GO:0016491,-,A0A2V0NLZ0,hypothetical protein
Gene00104,0,0,0,0,0.304857779,0,0,0,0,BDRX01000001.1,400180,400488,-,309,Rsub_00104,-,-,A0A2V0NPF1,hypothetical protein
Gene00105,87.77501747,98.962669,63.37740547,62.84618222,112.8813553,86.40075119,95.13324023,81.42183208,84.41130051,BDRX01000001.1,400578,401856,+,648,Rsub_00105,GO:0003824; GO:0005992,-,A0A2V0NJJ8,trehalose-6-phosphate synthase phosphatase
Gene00106,0.019465467,0.019650468,0.043331892,0.021309877,0,0.039801112,0.108617959,0.042803117,0.165725039,BDRX01000001.1,403458,406430,+,2217,Rsub_00106,-,-,A0A2V0NRD6,hypothetical protein
Gene00107,65.23813241,66.59559023,84.55880151,79.66273061,88.80411841,74.10702728,102.9696551,121.2129084,120.1983963,BDRX01000001.1,407166,408254,+,768,Rsub_00107,-,-,A0A2V0NJJ9,hypothetical protein
Gene00108,70.94057414,55.61129679,48.12950729,47.28180809,51.20933636,48.28608301,33.93832663,34.78326152,35.57975331,BDRX01000001.1,408783,413288,+,2499,Rsub_00108,GO:0016787,-,A0A2V0NR36,glycoside hydrolase
Gene00109,4.75928597,3.985742092,5.161035751,5.059463591,3.373867529,3.332432775,3.330295943,2.136808987,3.599208462,BDRX01000001.1,414378,419866,+,2820,Rsub_00109,GO:0004144; GO:0016021; GO:0019432,-,A0A2V0NJJ6,diacylglycerol O-acyltransferase-like protein
Gene00110,26.8871094,20.60408175,13.58012414,13.43939204,19.0703704,18.55638279,11.17877833,7.866473287,14.34703788,BDRX01000001.1,420572,421501,-,573,Rsub_00110,GO:0009535; GO:0048564; GO:0080183,-,A0A2V0NK93,"ycf3-interacting protein, chloroplastic"
Gene00111,15.19922426,16.256993,10.87548726,11.09293029,15.35457428,15.7701893,13.37811191,9.20098754,9.483784725,BDRX01000001.1,421967,424102,+,954,Rsub_00111,GO:0016021,-,A0A2V0NPH4,hypothetical protein
Gene00112,1.503656457,1.416750829,3.960942561,4.664041592,2.078768899,4.099375844,3.356181384,2.645143117,3.627184084,BDRX01000001.1,424457,426941,-,861,Rsub_00112,GO:0001510; GO:0008168,-,A0A2V0NJK3,"ribosomal RNA methyltransferase, mitochondrial"
Gene00113,0.007856352,0,0,0.017201528,0,0,0,0.034551068,0,BDRX01000001.1,427549,433518,+,5493,Rsub_00113,-,-,A0A2V0NM01,hypothetical protein
Gene00114,0.011177141,0.022566738,0.049762654,0,0.048796195,0.125696674,0.06236882,0.036866554,0.130844876,BDRX01000001.1,434369,440829,+,3861,Rsub_00114,GO:0004672; GO:0005524,-,A0A2V0NPF9,hypothetical protein
